fixture_id,date,time,league_id,league_name,country,round,home_team_id,home_team,away_team_id,away_team,home_goals,away_goals,ht_home,ht_away,ft_home,ft_away,avg_goal_home_team,avg_goal_away_team,avg_goal_combined,avg_goal_home_team_home,avg_goal_away_team_away,avg_goal_combined_home_away,home_team_no_goal_last5,away_team_no_goal_last5
1383422,2025-07-08,15:00,2,UEFA Champions League,World,1st Qualifying Round,1165,KuPS,691,Milsami Orhei,1,0,0,0,1,0,,,,,,,,
1383423,2025-07-08,16:00,2,UEFA Champions League,World,1st Qualifying Round,3502,Saburtalo,375,Malmo FF,1,3,0,1,1,3,,,,,,,,
1383424,2025-07-08,16:00,2,UEFA Champions League,World,1st Qualifying Round,3684,FC Noah,579,Buducnost Podgorica,1,0,0,0,1,0,,,,,,,,
1383458,2025-07-08,16:00,848,UEFA Europa Conference League,World,1st Qualifying Round,698,St Joseph S Fc,2266,Cliftonville FC,2,2,0,1,2,2,,,,,,,,
1383425,2025-07-08,16:30,2,UEFA Champions League,World,1st Qualifying Round,2273,FC Levadia Tallinn,4160,Rīgas FS,0,1,0,0,0,1,,,,,,,,
1383426,2025-07-08,17:00,2,UEFA Champions League,World,1st Qualifying Round,677,Olimpija Ljubljana,664,Kairat Almaty,1,1,0,0,1,1,,,,,,,,
1383459,2025-07-08,17:30,848,UEFA Europa Conference League,World,1st Qualifying Round,4625,Floriana,2194,Haverfordwest County AFC,2,1,1,1,2,1,,,,,,,,
1383428,2025-07-08,18:00,2,UEFA Champions League,World,1st Qualifying Round,354,The New Saints,609,Shkendija,0,0,0,0,0,0,,,,,,,,
1383429,2025-07-08,18:00,2,UEFA Champions League,World,1st Qualifying Round,580,Vikingur Gota,667,Lincoln Red Imps FC,2,3,2,3,2,3,,,,,,,,
1383427,2025-07-08,18:00,2,UEFA Champions League,World,1st Qualifying Round,14281,Drita,684,FC Differdange 03,1,0,0,0,1,0,,,,,,,,
1383431,2025-07-08,19:00,2,UEFA Champions League,World,1st Qualifying Round,3327,Egnatia Rrogozhinë,276,Breidablik,1,0,0,0,1,0,,,,,,,,
1383430,2025-07-08,19:00,2,UEFA Champions League,World,1st Qualifying Round,5308,Virtus,588,Zrinjski,0,2,0,1,0,2,,,,,,,,
1383432,2025-07-09,16:00,2,UEFA Champions League,World,1st Qualifying Round,586,FK Zalgiris Vilnius,4626,Hamrun Spartans,2,0,0,0,2,0,,,,,,,,
1383434,2025-07-09,17:30,2,UEFA Champions League,World,1st Qualifying Round,559,FCSB,3342,Inter Club d'Escaldes,3,1,2,0,3,1,,,,,,,,
1383433,2025-07-09,17:30,2,UEFA Champions League,World,1st Qualifying Round,566,Ludogorets,394,Dinamo Minsk,1,0,0,0,1,0,,,,,,,,
1383435,2025-07-09,18:45,2,UEFA Champions League,World,1st Qualifying Round,3854,Shelbourne,583,Linfield,1,0,0,0,1,0,,,,,,,,
1383460,2025-07-10,14:00,848,UEFA Europa Conference League,World,1st Qualifying Round,3345,Atlètic Club d'Escaldes,578,F91 Dudelange,2,0,2,0,2,0,,,,,,,,
1383462,2025-07-10,15:00,848,UEFA Europa Conference League,World,1st Qualifying Round,16135,Magpies,3528,Paide,2,3,1,2,2,3,,,,,,,,
1383465,2025-07-10,16:00,848,UEFA Europa Conference League,World,1st Qualifying Round,685,Torpedo Kutaisi,692,Ordabasy,4,3,2,2,4,3,,,,,,,,
1383464,2025-07-10,16:00,848,UEFA Europa Conference League,World,1st Qualifying Round,689,SJK,701,KI Klaksvik,1,2,0,1,1,2,,,,,,,,
1383466,2025-07-10,16:00,848,UEFA Europa Conference League,World,1st Qualifying Round,3872,Kauno Žalgiris,2191,Penybont,3,0,2,0,3,0,,,,,,,,
1383540,2025-07-10,16:00,3,UEFA Europa League,World,1st Qualifying Round,13976,Sabah FA,4360,Celje,2,3,2,1,2,3,,,,,,,,
1383467,2025-07-10,16:30,848,UEFA Europa Conference League,World,1st Qualifying Round,2030,Racing FC Union Luxembourg,3499,Dila,1,2,0,0,1,2,,,,,,,,
1383468,2025-07-10,16:30,848,UEFA Europa Conference League,World,1st Qualifying Round,2276,FC Urartu,387,Neman,1,2,0,0,1,2,,,,,,,,
1383541,2025-07-10,16:30,3,UEFA Europa League,World,1st Qualifying Round,614,AEK Larnaca,573,FK Partizan,1,0,0,0,1,0,,,,,,,,
1383469,2025-07-10,16:45,848,UEFA Europa Conference League,World,1st Qualifying Round,662,Kalju Nomme,708,Partizani,1,1,0,0,1,1,,,,,,,,
1383543,2025-07-10,17:00,3,UEFA Europa League,World,1st Qualifying Round,568,Sheriff Tiraspol,680,Prishtina,4,0,2,0,4,0,,,,,,,,
1383542,2025-07-10,17:00,3,UEFA Europa League,World,1st Qualifying Round,2390,Paks,2246,CFR 1907 Cluj,0,0,0,0,0,0,,,,,,,,
1383544,2025-07-10,17:30,3,UEFA Europa League,World,1st Qualifying Round,646,Levski Sofia,563,Hapoel Beer Sheva,0,0,0,0,0,0,,,,,,,,
1383470,2025-07-10,18:00,848,UEFA Europa Conference League,World,1st Qualifying Round,385,Torpedo Zhodino,663,FK Rabotnicki,3,0,1,0,3,0,,,,,,,,
1383473,2025-07-10,18:00,848,UEFA Europa Conference League,World,1st Qualifying Round,2277,Birkirkara,2271,Petrocub,1,0,0,0,1,0,,,,,,,,
1383472,2025-07-10,18:00,848,UEFA Europa Conference League,World,1st Qualifying Round,3339,Vllaznia Shkodër,4149,BFC Daugavpils,0,1,0,0,0,1,,,,,,,,
1383471,2025-07-10,18:00,848,UEFA Europa Conference League,World,1st Qualifying Round,3745,Dečić,4331,Sileks,2,0,1,0,2,0,,,,,,,,
1383545,2025-07-10,18:00,3,UEFA Europa League,World,1st Qualifying Round,550,Shakhtar Donetsk,1163,Ilves,6,0,2,0,6,0,,,,,,,,
1383463,2025-07-10,18:15,848,UEFA Europa Conference League,World,1st Qualifying Round,15576,Malisheva,278,Vikingur Reykjavik,0,1,0,1,0,1,,,,,,,,
1383546,2025-07-10,18:15,3,UEFA Europa League,World,1st Qualifying Round,1120,Spartak Trnava,367,BK Hacken,0,1,0,0,0,1,,,,,,,,
1383476,2025-07-10,18:30,848,UEFA Europa Conference League,World,1st Qualifying Round,574,Vardar Skopje,2249,La Fiorita,3,0,0,0,3,0,,,,,,,,
1383475,2025-07-10,18:30,848,UEFA Europa Conference League,World,1st Qualifying Round,654,Zeljeznicar Sarajevo,4374,Koper,1,1,0,1,1,1,,,,,,,,
1383474,2025-07-10,18:30,848,UEFA Europa Conference League,World,1st Qualifying Round,673,Sutjeska,386,Dinamo Brest,1,2,0,1,1,2,,,,,,,,
1383478,2025-07-10,18:45,848,UEFA Europa Conference League,World,1st Qualifying Round,682,NSI Runavik,649,HJK helsinki,4,0,2,0,4,0,,,,,,,,
